4277,302
4169,227
1680,215
2909,178
4448,177
1285,175
3292,163
3539,161
424,159
3032,159
1015,158
5831,154
3224,152
549,152
5511,145
3391,144
1698,143
5100,139
1980,137
839,137
4344,136
1448,128
4482,126
1088,126
3163,123
3272,120
2793,119
550,119
2507,118
5795,118
1764,117
1117,116
1451,116
2304,115
1884,114
678,114
53,114
5614,112
3841,110
4089,110
4802,110
4085,109
2116,109
1051,108
4508,108
1835,108
3029,107
195,107
2124,107
5312,106
524,105
3705,104
543,104
3507,104
869,104
4021,103
1635,103
1579,102
1203,102
1733,101
3067,101
1941,101
1317,100
1425,100
4048,100
5015,99
1298,99
1899,99
3491,99
1671,98
5504,98
1983,97
1880,97
4682,97
2181,97
911,96
2777,96
2030,95
1943,95
4411,95
4386,95
1120,94
4647,94
5812,93
149,93
1926,93
1613,92
2529,92
5046,92
5387,91
412,91
352,91
3808,90
1741,90
6036,89
1676,88
3834,88
1605,88
3681,88
5329,87
5643,87
1264,87
692,87
5111,87
4238,87
3650,87
3792,87
5333,87
2340,87
3483,86
4732,85
984,85
4579,85
3626,85
802,85
1727,85
5675,85
4867,85
4819,85
1501,84
2203,84
1812,84
5394,84
3842,84
1758,84
710,83
2073,83
2841,83
2015,82
3823,82
5011,82
4506,82
4543,82
3675,82
1969,81
731,81
1224,81
1465,80
1842,80
4578,80
1645,80
714,79
173,79
889,79
1274,79
5954,79
3590,78
1837,78
4354,78
2878,78
4227,78
3018,77
4033,77
1988,77
1647,77
721,77
5317,77
1836,76
4607,76
1019,76
4497,76
3963,76
5074,76
1333,76
2063,75
1112,75
1701,75
5090,75
1586,75
1242,75
3768,75
2092,75
4115,75
5428,75
5682,74
4979,74
509,74
2665,74
3526,74
331,74
2237,74
1447,74
1303,74
3503,74
4305,73
4028,73
5000,73
3469,73
1383,73
319,73
5103,73
4064,73
5878,72
3878,72
482,72
4041,72
1897,72
1137,72
6016,72
1699,72
2986,71
5744,71
187,71
5550,71
5837,71
2872,71
235,71
3769,71
4904,71
58,70
4950,70
169,70
3562,70
588,70
1260,70
1778,70
1639,70
4318,70
4673,69
877,69
3518,69
5763,69
3940,69
1266,68
4510,68
2088,68
2544,68
752,68
2164,68
1181,68
2018,67
2453,67
4285,67
1737,67
3499,67
4083,67
4213,67
3885,66
4345,66
4298,66
5256,66
4312,66
850,65
2967,65
881,65
476,65
855,65
